"","pfam_desc","gene_name1"
"11780","Putative undecaprenyl diphosphate synthase","AT2G17570"
"11781","Response regulator receiver domain","AT1G66340"
"11782","His Kinase A (phosphoacceptor) domain","AT1G66340"
"11783","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","AT1G66340"
"11784","GAF domain","AT1G66340"
"11785","Zinc finger, C3HC4 type (RING finger)","AT2G44581"
"11786","CRAL/TRIO domain","AT5G47510"
"11787","CRAL/TRIO, N-terminus","AT5G47510"
"11788","ML domain","AT5G23840"
"11789","Cytochrome b5-like Heme/Steroid binding domain","AT5G53560"
"11790","Peroxidase","AT4G37520"
"11791","HSF-type DNA-binding","AT1G67970"
"11792","Glycosyl transferase family 8","AT3G06260"
"11793","Glycosyl transferase family 8","AT2G30575"
"11794","PPR repeat","AT5G28370"
"11795","Glycosyl hydrolases family 31","AT5G11720"
"11796","Ribosomal L30 N-terminal domain","AT2G01250"
"11797","Ribosomal protein L30p/L7e","AT2G01250"
"11798","alpha/beta hydrolase fold","AT5G38520"
"11799","EamA-like transporter family","AT4G19185"
"11800","Domain of unknown function (DUF3594)","AT5G20510"
"11801","PHD-finger","AT5G20510"
"11802","Complex I intermediate-associated protein 30 (CIA30)","AT1G17350"
"11803","Protein of unknown function (DUF626)","AT1G23970"
"11804","Domain of unknown function (DUF3444)","AT5G18750"
"11805","DnaJ domain","AT5G18750"
"11806","Zinc finger, C3HC4 type (RING finger)","AT3G19910"
"11807","MatE","AT1G73700"
"11808","Glutathione peroxidase","AT2G25080"
"11809","Flavin containing amine oxidoreductase","AT1G62830"
"11810","SWIRM domain","AT1G62830"
"11811","Voltage gated chloride channel","AT5G49890"
"11812","CBS domain","AT5G49890"
"11813","Protein tyrosine kinase","AT2G31010"
"11814","Peroxidase","AT3G28200"
"11815","Disease resistance/zinc finger/chromosome condensation-like region","AT1G54180"
"11816","Protein of unknown function (DUF627)","AT3G47890"
"11817","Ubiquitin carboxyl-terminal hydrolase","AT3G47890"
"11818","Protein of unknown function (DUF629)","AT3G47890"
"11819","PQ loop repeat","AT5G40670"
"11820","Arabidopsis proteins of unknown function","AT2G44210"
"11821","Domain of unknown function (DUF3444)","AT2G05230"
"11822","DnaJ domain","AT2G05230"
"11823","Plasma-membrane choline transporter","AT5G17830"
"11824","UDP-glucoronosyl and UDP-glucosyl transferase","AT1G22400"
"11825","Plant protein of unknown function (DUF863)","AT1G13940"
"11826","Putative methyltransferase","AT4G19120"
"11827","Sugar (and other) transporter","AT1G77210"
"11828","Kelch motif","AT2G29770"
"11829","Lipase (class 3)","AT4G16070"
"11830","Lipase 3 N-terminal region","AT4G16070"
"11831","galactosyl transferase GMA12/MNN10 family","AT4G37690"
"11832","Pollen proteins Ole e I like","AT1G29140"
"11833","Casein kinase II regulatory subunit","AT2G44680"
"11834","Phosphatidylethanolamine-binding protein","AT5G62040"
"11835","Sugar (and other) transporter","AT1G16370"
"11836","Plastocyanin-like domain","AT5G25090"
"11837","N-terminal domain of NEFA-interacting nuclear protein NIP30","AT3G62140"
"11838","PLAC8 family","AT1G63830"
"11839","Domain of unknown function DUF220","AT1G23690"
"11840","Phosphate-induced protein 1 conserved region","AT4G08950"
"11841","Sulfite exporter TauE/SafE","AT1G61740"
"11842","Coatomer gamma subunit appendage domain","AT2G16200"
"11843","AN1-like Zinc finger","AT1G12440"
"11844","A20-like zinc finger","AT1G12440"
"11845","Mad3/BUB1 homology region 1","AT2G20635"
"11846","Protein kinase domain","AT2G20635"
"11847","Plant invertase/pectin methylesterase inhibitor","AT5G46960"
"11848","Protein tyrosine kinase","AT4G14780"
"11849","PRP1 splicing factor, N-terminal","AT4G03430"
"11850","Molybdopterin guanine dinucleotide synthesis protein B","AT3G04680"
"11851","Pre-mRNA cleavage complex II protein Clp1","AT3G04680"
"11852","CRAL/TRIO, N-terminus","AT1G22180"
"11853","Alba","AT1G20220"
"11854","Nodulin-like","AT5G50520"
"11855","ATPase family associated with various cellular activities (AAA)","AT1G07270"
"11856","CDC6, C terminal","AT1G07270"
"11857","E1-E2 ATPase","AT4G11730"
"11858","Cation transporter/ATPase, N-terminus","AT4G11730"
"11859","ADP-ribosylation factor family","AT2G15310"
"11860","Histone acetylation protein","AT1G55970"
"11861","TAZ zinc finger","AT1G55970"
"11862","Zinc finger, ZZ type,","AT1G55970"
"11863","PHD-finger","AT1G55970"
"11864","Nicotianamine synthase protein","AT1G56430"
"11865","Domain of unknown function (DUF543)","AT1G22520"
"11866","AFG1-like ATPase","AT4G30490"
"11867","Cleavage site for pathogenic type III effector avirulence factor Avr","AT5G48657"
"11868","Protein of unknown function, DUF617","AT2G21990"
"11869","Myb-like DNA-binding domain","AT1G09540"
"11870","Ion transport protein","AT2G46440"
"11871","UDP-glucoronosyl and UDP-glucosyl transferase","AT1G05675"
"11872","Leucine Rich Repeat","AT3G59180"
"11873","PPR repeat","AT4G26800"
"11874","PAP_fibrillin","AT5G09820"
"11875","GDP-fucose protein O-fucosyltransferase","AT1G38065"
"11876","Kinase binding protein CGI-121","AT4G34412"
"11877","Eukaryotic aspartyl protease","AT5G19120"
"11878","Protein of unknown function (DUF569)","AT3G28630"
"11879","Glycosyl hydrolases family 18","AT4G19730"
"11880","Helix-loop-helix DNA-binding domain","AT5G50915"
"11881","Homeobox domain","AT5G59340"
"11882","Ribosomal protein L17","AT5G09770"
"11883","UDP-glucoronosyl and UDP-glucosyl transferase","AT3G22250"
"11884","Zinc-finger double-stranded RNA-binding","AT4G02670"
"11885","Xyloglucan endo-transglycosylase (XET) C-terminus","AT5G57550"
"11886","Glycosyl hydrolases family 16","AT5G57550"
"11887","Protein of unknown function (DUF1740)","AT3G17740"
"11888","B3 DNA binding domain","AT2G46530"
"11889","Auxin response factor","AT2G46530"
"11890","AUX/IAA family","AT2G46530"
"11891","AIG1 family","AT2G34315"
"11892","PLATZ transcription factor","AT5G46710"
"11893","Zinc finger, C3HC4 type (RING finger)","AT2G22680"
"11894","von Willebrand factor type A domain","AT2G22680"
"11895","Kinesin motor domain","AT3G19050"
"11896","galactosyl transferase GMA12/MNN10 family","AT1G18690"
"11897","Phosphoribulokinase / Uridine kinase family","AT5G40870"
"11898","Phosphoribosyl transferase domain","AT5G40870"
"11899","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT5G44200"
"11900","Protein kinase domain","AT1G07870"
"11901","Leucine Rich Repeat","AT1G34290"
"11902","Thiopurine S-methyltransferase (TPMT)","AT2G43920"
"11903","Domain of unknown function (DUF1985)","AT2G07240"
"11904","Ulp1 protease family, C-terminal catalytic domain","AT2G07240"
"11905","C2 domain","AT1G53590"
"11906","Domain of unknown function (DUF3490)","AT3G43210"
"11907","Kinesin motor domain","AT3G43210"
"11908","No apical meristem (NAM) protein","AT1G77450"
"11909","2OG-Fe(II) oxygenase superfamily","AT2G17970"
"11910","IGR protein motif","AT5G26800"
"11911","Glycosyl hydrolase family 1","AT3G03640"
"11912","Phosphate transporter family","AT3G26570"
"11913","Light regulated protein Lir1","AT3G26740"
"11914","Homeobox domain","AT1G05230"
"11915","START domain","AT1G05230"
"11916","Cyanate lyase C-terminal domain","AT3G23490"
"11917","Calcineurin-like phosphoesterase","AT3G46820"
"11918","Late embryogenesis abundant protein","AT1G54540"
"11919","YT521-B-like family","AT5G61020"
"11920","Protein kinase domain","AT5G38560"
"11921","MCM2/3/5 family","AT1G44900"
"11922","Minichromosone maintenance protein 2","AT1G44900"
"11923","Helix-loop-helix DNA-binding domain","AT1G72210"
"11924","No apical meristem (NAM) protein","AT2G24430"
"11925","Flavin-binding monooxygenase-like","AT1G21430"
"11926","Family of unknown function (DUF577)","AT5G37650"
"11927","Methyladenine glycosylase","AT1G80850"
"11928","2OG-Fe(II) oxygenase superfamily","AT4G33910"
"11929","Complex 1 protein (LYR family)","AT1G76065"
"11930","Translation initiation factor 1A / IF-1","AT5G35680"
"11931","Transferase family","AT5G67160"
"11932","Ribosome recycling factor","AT3G01800"
"11933","Proteasome subunit","AT5G40580"
"11934","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT1G45100"
"11935","Protein of unknown function (DUF1740)","AT3G17712"
"11936","WD domain, G-beta repeat","AT3G62770"
"11937","Phosphofructokinase","AT2G22480"
"11938","EamA-like transporter family","AT5G40240"
"11939","GIY-YIG catalytic domain","AT5G43210"
"11940","ATPase family associated with various cellular activities (AAA)","ATCG00860"
"11941","Plant protein of unknown function (DUF825)","ATCG00860"
"11942","F-box domain","AT3G60350"
"11943","Armadillo/beta-catenin-like repeat","AT3G60350"
"11944","Cytochrome P450","AT3G28740"
"11945","Pectinesterase","AT3G24130"
"11946","short chain dehydrogenase","AT1G62610"
"11947","Rft protein","AT5G07630"
"11948","Myb-like DNA-binding domain","AT5G23650"
"11949","Protein of unknown function (DUF812)","AT1G55830"
"11950","Protein tyrosine kinase","AT1G67720"
"11951","Protein kinase domain","AT2G40500"
"11952","FBD","AT1G61940"
"11953","F-box domain","AT1G61940"
"11954","Tub family","AT1G61940"
"11955","Oxidoreductase family, NAD-binding Rossmann fold","AT3G20790"
"11956","Oxidoreductase family, C-terminal alpha/beta domain","AT3G20790"
"11957","Protein of unknown function (DUF630)","AT2G17110"
"11958","Protein of unknown function (DUF632)","AT2G17110"
"11959","Leucine rich repeat N-terminal domain","AT2G23300"
"11960","Leucine Rich Repeat","AT2G23300"
"11961","Protein kinase domain","AT2G23300"
"11962","short chain dehydrogenase","AT4G13180"
"11963","Protein kinase domain","AT3G12200"
"11964","Wall-associated kinase","AT1G16120"
"11965","Protein kinase domain","AT1G16120"
"11966","Gar1/Naf1 RNA binding region","AT1G03530"
"11967","tRNA pseudouridine synthase","AT1G34150"
"11968","WD domain, G-beta repeat","AT2G19430"
"11969","Protease inhibitor/seed storage/LTP family","AT5G46890"
"11970","Mediator complex subunit 27","AT3G09180"
"11971","Hsp20/alpha crystallin family","AT1G59860"
"11972","Copper/zinc superoxide dismutase (SODC)","AT5G18100"
"11973","SWIB/MDM2 domain","AT2G18090"
"11974","GYF domain","AT2G18090"
"11975","No apical meristem (NAM) protein","AT1G52880"
"11976","Asparaginase","AT5G08100"
"11977","SAM domain (Sterile alpha motif)","AT3G07170"
"11978","Hsp20/alpha crystallin family","AT1G52560"
"11979","HEAT repeat","AT1G64960"
"11980","Condensin II non structural maintenance of chromosomes subunit","AT1G64960"
"11981","ABC1 family","AT5G50330"
"11982","Berberine and berberine like","AT5G44410"
"11983","FAD binding domain","AT5G44410"
"11984","Protein of unknown function, DUF258","AT1G67440"
"11985","Oxysterol-binding protein","AT5G59420"
"11986","Cytidylyltransferase family","AT3G60620"
"11987","IQ calmodulin-binding motif","AT2G26180"
"11988","Zinc knuckle","AT5G42540"
"11989","XRN 5'-3' exonuclease N-terminus","AT5G42540"
"11990","Ribosomal protein S7e","AT3G02560"
"11991","Protein of unknown function (DUF295)","AT2G04840"
"11992","PRMT5 arginine-N-methyltransferase","AT1G04870"
"11993","No apical meristem (NAM) protein","AT1G25580"
"11994","DNA directed RNA polymerase, 7 kDa subunit","AT1G53690"
"11995","Peptidyl-tRNA hydrolase PTH2","AT3G03010"
"11996","SNARE domain","AT5G46860"
"11997","Syntaxin","AT5G46860"
"11998","PLATZ transcription factor","AT3G50808"
"11999","Cytochrome P450","AT1G01190"
"12000","HEAT repeat","AT5G19820"
"12001","Dimerisation domain","AT5G54160"
"12002","O-methyltransferase","AT5G54160"
"12003","Protein of unknown function (DUF1070)","AT3G61640"
"12004","LUC7 N_terminus","AT5G51410"
"12005","Homeobox domain","AT4G36870"
"12006","Associated with HOX","AT4G36870"
"12007","Plant specific eukaryotic initiation factor 4B","AT4G38710"
"12008","B3 DNA binding domain","AT4G23980"
"12009","Auxin response factor","AT4G23980"
"12010","AUX/IAA family","AT4G23980"
"12011","Strictosidine synthase","AT3G59530"
"12012","Cyclin, C-terminal domain","AT1G44110"
"12013","Cyclin, N-terminal domain","AT1G44110"
"12014","NB-ARC domain","AT3G51570"
"12015","Leucine Rich Repeat","AT3G51570"
"12016","TIR domain","AT3G51570"
"12017","Leucine rich repeat N-terminal domain","AT1G71830"
"12018","Leucine Rich Repeat","AT1G71830"
"12019","Protein kinase domain","AT1G71830"
"12020","Signal peptide peptidase","AT4G33410"
"12021","SET domain","AT3G61740"
"12022","PWWP domain","AT3G61740"
"12023","SAND domain","AT3G61740"
"12024","PHD-finger","AT3G61740"
"12025","Surfeit locus protein 6","AT2G27750"
"12026","SPOC domain","AT4G12640"
"12027","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT4G12640"
"12028","Triosephosphate isomerase","AT2G21170"
"12029","DnaJ C terminal region","AT2G22360"
"12030","DnaJ domain","AT2G22360"
"12031","DnaJ central domain (4 repeats)","AT2G22360"
"12032","NPH3 family","AT3G08660"
"12033","BTB/POZ domain","AT3G08660"
"12034","NifU-like domain","AT4G01940"
"12035","mTERF","AT4G14605"
"12036","FBD","AT1G66310"
"12037","F-box domain","AT1G66310"
"12038","Leucine Rich Repeat","AT1G66310"
"12039","Zinc finger, C3HC4 type (RING finger)","AT5G42940"
"12040","Cytochrome b(N-terminal)/b6/petB","ATCG00720"
"12041","MATH domain","AT3G58350"
"12042","PPR repeat","AT1G06140"
"12043","B3 DNA binding domain","AT1G49480"
"12044","DDT domain","AT5G08630"
"12045","ATP-utilising chromatin assembly and remodelling N-terminal","AT5G08630"
"12046","S-adenosylmethionine synthetase, N-terminal domain","AT1G02500"
"12047","S-adenosylmethionine synthetase, C-terminal domain","AT1G02500"
"12048","S-adenosylmethionine synthetase, central domain","AT1G02500"
"12049","Plant invertase/pectin methylesterase inhibitor","AT2G31432"
"12050","SNO glutamine amidotransferase family","AT5G60540"
"12051","NB-ARC domain","AT5G45210"
"12052","Leucine Rich Repeat","AT5G45210"
"12053","TIR domain","AT5G45210"
"12054","Protein tyrosine kinase","AT5G38280"
"12055","Thaumatin family","AT5G38280"
"12056","Phosphopantetheine attachment site","AT1G65290"
"12057","3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal","AT1G19440"
"12058","FAE1/Type III polyketide synthase-like protein","AT1G19440"
"12059","La domain","AT1G79880"
"12060","Protein tyrosine kinase","AT1G66920"
"12061","NADH-ubiquinone/plastoquinone oxidoreductase chain 6","ATCG01080"
"12062","HEAT repeat","AT3G08850"
"12063","WD domain, G-beta repeat","AT3G08850"
"12064","Ribosome associated membrane protein RAMP4","AT1G27350"
"12065","SecE/Sec61-gamma subunits of protein translocation complex","AT4G14870"
"12066","Helix-loop-helix DNA-binding domain","AT2G41240"
"12067","Glycerophosphoryl diester phosphodiesterase family","AT4G26690"
"12068","Plant self-incompatibility response (SCRL) protein","AT3G23727"
"12069","alpha/beta hydrolase fold","AT1G80280"
"12070","Stigma-specific protein, Stig1","AT1G50650"
"12071","Myb-like DNA-binding domain","AT4G39250"
"12072","EF hand","AT2G15680"
"12073","ESCRT-II complex subunit","AT4G19003"
"12074","Major intrinsic protein","AT1G73190"
"12075","Starch binding domain","AT2G04270"
"12076","Leucine rich repeat N-terminal domain","AT5G51560"
"12077","Leucine Rich Repeat","AT5G51560"
"12078","Protein tyrosine kinase","AT5G51560"
"12079","HIT zinc finger","AT3G06660"
"12080","PAPA-1-like conserved region","AT3G06660"
"12081","F-box domain","AT1G52650"
"12082","2OG-Fe(II) oxygenase superfamily","AT1G06645"
"12083","Phosphoadenosine phosphosulfate reductase family","AT1G62180"
"12084","Thioredoxin","AT1G62180"
"12085","2OG-Fe(II) oxygenase superfamily","AT1G28030"
"12086","DVL family","AT3G63088"
"12087","Phospholipase D Active site motif","AT3G05630"
"12088","CHCH domain","AT5G23395"
"12089","DEAD/DEAH box helicase","AT2G42520"
"12090","Helicase conserved C-terminal domain","AT2G42520"
"12091","Development and cell death domain","AT2G32910"
"12092","Ubiquitin family","AT1G65350"
"12093","Mlo family","AT2G17480"
"12094","Sec7 domain","AT1G13980"
"12095","Protein of unknown function DUF88","AT3G56730"
"12096","Plant self-incompatibility response (SCRL) protein","AT4G10115"
"12097","EamA-like transporter family","AT3G45870"
"12098","SRF-type transcription factor (DNA-binding and dimerisation domain)","AT1G22590"
"12099","ABC transporter","AT5G52860"
"12100","ABC-2 type transporter","AT5G52860"
"12101","C1 domain","AT2G37800"
"12102","C1-like domain","AT2G37800"
"12103","AMP-binding enzyme","AT4G19010"
"12104","Protease inhibitor/seed storage/LTP family","AT1G27950"
"12105","Pyridoxal-phosphate dependent enzyme","AT4G29840"
"12106","IPP transferase","AT4G24650"
"12107","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT3G53500"
"12108","Zinc knuckle","AT3G53500"
"12109","Serpin (serine protease inhibitor)","AT1G63280"
"12110","AP2 domain","AT5G25810"
"12111","Rieske [2Fe-2S] domain","AT3G44880"
"12112","Pheophorbide a oxygenase","AT3G44880"
"12113","Kinesin motor domain","AT5G27550"
"12114","Ribosomal protein L34e","AT3G28900"
"12115","EamA-like transporter family","AT5G13670"
"12116","E1-E2 ATPase","AT2G18960"
"12117","Cation transporter/ATPase, N-terminus","AT2G18960"
"12118","haloacid dehalogenase-like hydrolase","AT2G18960"
"12119","Myb-like DNA-binding domain","AT5G10280"
"12120","Uncharacterized conserved protein (DUF2215)","AT5G67610"
"12121","NB-ARC domain","AT1G72890"
"12122","TIR domain","AT1G72890"
"12123","PPR repeat","AT5G59900"
"12124","Plant self-incompatibility response (SCRL) protein","AT4G33465"
"12125","ATP12 chaperone protein","AT5G40660"
"12126","DNA polymerase subunit Cdc27","AT1G78650"
"12127","Multicopper oxidase","AT4G22010"
"12128","Triose-phosphate Transporter family","AT4G18195"
"12129","Helicase conserved C-terminal domain","AT2G18760"
"12130","SNF2 family N-terminal domain","AT2G18760"
"12131","Fatty acid hydroxylase superfamily","AT3G02580"
"12132","Prenyltransferase and squalene oxidase repeat","AT1G78960"
"12133","QLQ","AT3G13960"
"12134","WRC","AT3G13960"
"12135","HIT zinc finger","AT2G47350"
"12136","Endomembrane protein 70","AT1G14670"
"12137","Sucrose synthase","AT5G20830"
"12138","Glycosyl transferases group 1","AT5G20830"
"12139","PPR repeat","AT5G43790"
"12140","Aminopeptidase P, N-terminal domain","AT1G09300"
"12141","Metallopeptidase family M24","AT1G09300"
"12142","B3 DNA binding domain","AT4G33280"
"12143","BTB/POZ domain","AT5G67480"
"12144","TAZ zinc finger","AT5G67480"
"12145","POT family","AT1G32450"
"12146","Protein of unknown function (DUF567)","AT3G16900"
"12147","Peptidase M16 inactive domain","AT3G57470"
"12148","Insulinase (Peptidase family M16)","AT3G57470"
"12149","GlcNAc-PI de-N-acetylase","AT3G58130"
"12150","Protein kinase domain","AT1G01560"
"12151","SNARE domain","AT1G13890"
"12152","short chain dehydrogenase","AT5G53100"
"12153","Pescadillo N-terminus","AT5G14520"
"12154","BRCA1 C Terminus (BRCT) domain","AT5G14520"
"12155","S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)","AT3G04943"
"12156","Radical SAM superfamily","AT1G60230"
"12157","GDSL-like Lipase/Acylhydrolase","AT1G31550"
"12158","Glycosyl transferase family 2","AT5G16190"
"12159","Peptidase family M48","AT5G51740"
"12160","short chain dehydrogenase","AT5G61830"
"12161","GTPase of unknown function","AT5G39960"
"12162","EF hand","AT1G73440"
"12163","TFIIS helical bundle-like domain","AT3G48050"
"12164","BAH domain","AT3G48050"
"12165","Plant invertase/pectin methylesterase inhibitor","AT5G27870"
"12166","Pectinesterase","AT5G27870"
"12167","Calcineurin-like phosphoesterase","AT1G64040"
"12168","MIR domain","AT2G25110"
"12169","Dynamin GTPase effector domain","AT5G42080"
"12170","Dynamin family","AT5G42080"
"12171","Dynamin central region","AT5G42080"
"12172","Glycosyl hydrolases family 32 N-terminal domain","AT3G13790"
"12173","Glycosyl hydrolases family 32 C terminal","AT3G13790"
"12174","Endonuclease/Exonuclease/phosphatase family","AT2G31830"
"12175","Putative undecaprenyl diphosphate synthase","AT5G60500"
"12176","S-layer homology domain","AT5G52410"
"12177","Armadillo/beta-catenin-like repeat","AT4G34940"
"12178","Zc3h12a-like Ribonuclease domain","AT4G21900"
"12179","Acetamidase/Formamidase family","AT4G37550"
"12180","Haemolysin-III related","AT4G37680"
"12181","Rhamnogalacturonate lyase family","AT4G24430"
"12182","GDP-fucose protein O-fucosyltransferase","AT2G44500"
"12183","CCT motif","AT1G68520"
"12184","B-box zinc finger","AT1G68520"
"12185","DDT domain","AT1G18950"
"12186","Helicase conserved C-terminal domain","AT5G63950"
"12187","SNF2 family N-terminal domain","AT5G63950"
"12188","Formin Homology 2 Domain","AT5G07760"
"12189","Repair protein Rad1/Rec1/Rad17","AT4G17760"
"12190","Protein kinase domain","AT1G71410"
"12191","VQ motif","AT3G22160"
"12192","Myb-like DNA-binding domain","AT5G52660"
"12193","Cellulase (glycosyl hydrolase family 5)","AT5G16700"
"12194","GDSL-like Lipase/Acylhydrolase","AT5G45960"
"12195","VID27 cytoplasmic protein","AT4G33400"
"12196","Ubiquitin-conjugating enzyme","AT3G13550"
"12197","Protein of unknown function (DUF1644)","AT2G26050"
"12198","BTB/POZ domain","AT2G40440"
"12199","Zinc finger, C3HC4 type (RING finger)","AT4G12140"
"12200","SH3 domain","AT4G18060"
"12201","AP2 domain","AT1G21910"
"12202","Protein tyrosine kinase","AT1G80640"
"12203","Heme oxygenase","AT2G26670"
"12204","Peroxidase","AT1G24110"
"12205","Ribosomal protein L41","AT3G11120"
"12206","Glycosyl hydrolase family 47","AT1G51590"
"12207","Phosphofructokinase","AT5G56630"
"12208","Skp1 family, tetramerisation domain","AT5G59140"
"12209","ThiF family","AT2G32410"
"12210","Putative Phosphatase","AT1G17710"
"12211","Transmembrane amino acid transporter protein","AT5G63850"
"12212","Protein kinase domain","AT1G28390"
"12213","Phosphoenolpyruvate carboxylase","AT1G68750"
"12214","Protein of unknown function (DUF581)","AT1G53885"
"12215","PB1 domain","AT5G64430"
"12216","Root cap","AT4G27400"
"12217","PPR repeat","AT1G26460"
"12218","Protein kinase domain","AT1G68690"
"12219","Ribosomal protein L14p/L23e","AT3G04400"
"12220","F-box domain","AT3G21120"
"12221","F-box associated","AT3G21120"
"12222","Ethylene insensitive 3","AT3G20770"
"12223","NUC173 domain","AT4G23540"
"12224","Sodium/calcium exchanger protein","AT3G13320"
"12225","Domain of unknown function DUF26","AT1G63570"
"12226","Protein kinase domain","AT1G77720"
"12227","Transcription factor TFIIB repeat","AT3G57370"
"12228","Acetyltransferase (GNAT) family","AT2G30090"
"12229","C2 domain","AT3G04360"
"12230","Ubiquitin carboxyl-terminal hydrolase, family 1","AT4G17510"
"12231","Thaumatin family","AT1G19320"
"12232","Glycosyl hydrolase family 9","AT2G44560"
"12233","VIT family","AT4G27860"
"12234","Glutamate/Leucine/Phenylalanine/Valine dehydrogenase","AT5G18170"
"12235","Glu/Leu/Phe/Val dehydrogenase, dimerisation domain","AT5G18170"
"12236","Peroxidase","AT3G03670"
"12237","Elongation factor Tu C-terminal domain","AT1G07920"
"12238","Elongation factor Tu domain 2","AT1G07920"
"12239","Elongation factor Tu GTP binding domain","AT1G07920"
"12240","Phosphopantetheine attachment site","AT5G27200"
"12241","YDG/SRA domain","AT2G22740"
"12242","SET domain","AT2G22740"
"12243","Pre-SET motif","AT2G22740"
"12244","Protein of unknown function (DUF1298)","AT3G49210"
"12245","Uncharacterised protein family (UPF0089)","AT3G49210"
"12246","Plant protein of unknown function (DUF868)","AT2G36470"
"12247","B3 DNA binding domain","AT1G34390"
"12248","Auxin response factor","AT1G34390"
"12249","AUX/IAA family","AT1G34390"
"12250","Cyclic nucleotide-binding domain","AT2G23980"
"12251","Ion transport protein","AT2G23980"
"12252","Protein kinase domain","AT4G13190"
"12253","Glutathione S-transferase, C-terminal domain","AT5G44000"
"12254","Protein of unknown function (DUF640)","AT2G42610"
"12255","Ribosomal L29 protein","AT2G39390"
"12256","HCO3- transporter family","AT1G74810"
"12257","ABC transporter","AT1G51500"
"12258","ABC-2 type transporter","AT1G51500"
"12259","NB-ARC domain","AT1G72840"
"12260","Leucine Rich Repeat","AT1G72840"
"12261","TIR domain","AT1G72840"
"12262","CoA-ligase","AT5G23250"
"12263","CoA binding domain","AT5G23250"
"12264","BT1 family","AT1G79710"
"12265","PB1 domain","AT2G25290"
"12266","chorismate binding enzyme","AT1G74710"
"12267","F-box associated","AT1G53360"
"12268","ML domain","AT2G16005"
"12269","B3 DNA binding domain","AT2G24681"
"12270","Proteasome subunit A N-terminal signature","AT3G51260"
"12271","Proteasome subunit","AT3G51260"
"12272","Myb-like DNA-binding domain","AT4G28610"
"12273","Cellulose synthase","AT5G05170"
"12274","F-box domain","AT1G32430"
"12275","F-box associated","AT1G32430"
"12276","EamA-like transporter family","AT1G77610"
"12277","Triose-phosphate Transporter family","AT1G77610"
"12278","Sodium Bile acid symporter family","AT3G25410"
"12279","ABC1 family","AT3G07700"
"12280","Cyclic nucleotide-binding domain","AT5G54250"
"12281","Ubiquitin-2 like Rad60 SUMO-like","AT5G55170"
"12282","Protein of unknown function, DUF607","AT1G09575"
"12283","2OG-Fe(II) oxygenase superfamily","AT3G61400"
"12284","SAM domain (Sterile alpha motif)","AT5G23680"
"12285","Myb-like DNA-binding domain","AT5G35550"
"12286","Plant invertase/pectin methylesterase inhibitor","AT3G55680"
"12287","SPX domain","AT2G26660"
"12288","SAM dependent carboxyl methyltransferase","AT5G37970"
"12289","AMP-binding enzyme","AT1G65880"
"12290","Plant organelle RNA recognition domain","AT1G71850"
"12291","B3 DNA binding domain","AT5G20730"
"12292","Auxin response factor","AT5G20730"
"12293","AUX/IAA family","AT5G20730"
"12294","Protein of unknown function (DUF581)","AT5G11460"
"12295","Myb-like DNA-binding domain","AT1G49010"
"12296","Domain of Kin17 curved DNA-binding protein","AT5G51795"
"12297","SPFH domain / Band 7 family","AT5G62740"
"12298","Ankyrin repeat","AT5G15500"
"12299","Glycoprotease family","AT2G45270"
"12300","2OG-Fe(II) oxygenase superfamily","AT1G80330"
"12301","AUX/IAA family","AT5G65670"
"12302","PHD-finger","AT5G36670"
"12303","Calponin homology (CH) domain","AT3G44730"
"12304","Kinesin motor domain","AT3G44730"
"12305","WRKY DNA -binding domain","AT1G62300"
"12306","Basic region leucine zipper","AT2G16770"
"12307","Phenylalanine and histidine ammonia-lyase","AT5G04230"
"12308","Protein of unknown function (DUF784)","AT2G25482"
"12309","Peptidase M16 inactive domain","AT1G06900"
"12310","Insulinase (Peptidase family M16)","AT1G06900"
"12311","Protein of unknown function (DUF677)","AT5G66660"
"12312","Tesmin/TSO1-like CXC domain","AT5G25790"
"12313","Chitin recognition protein","AT2G43590"
"12314","Chitinase class I","AT2G43590"
"12315","Protein of unknown function DUF260","AT4G22700"
"12316","PPR repeat","AT3G06920"
"12317","Plant mobile domain","AT1G50760"
"12318","Protein kinase domain","AT3G18040"
"12319","Eukaryotic translation initiation factor 3 subunit G","AT5G06000"
"12320","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","AT5G06000"
"12321","Dehydrin","AT3G50970"
"12322","NLI interacting factor-like phosphatase","AT2G36550"
"12323","Protein tyrosine kinase","AT5G03730"
"12324","FKBP-type peptidyl-prolyl cis-trans isomerase","AT5G48580"
"12325","Domain of unknown function (DUF588)","AT4G16442"
"12326","Mob1/phocein family","AT5G20440"
"12327","Protein of unknown function (DUF784)","AT2G21655"
"12328","Protein of unknown function (DUF1350)","AT3G43540"
"12329","Plant protein of unknown function (DUF641)","AT1G53380"
"12330","Plant self-incompatibility protein S1","AT4G29035"
"12331","V-type ATPase 116kDa subunit family","AT2G21410"
"12332","Helix-loop-helix DNA-binding domain","AT1G26945"
"12333","Tim44-like domain","AT2G36070"
"12334","Glycosyl hydrolases family 28","AT2G26620"
